ID,Sales
T1200569,47864.890625
T1198707,61830.703125
T1193610,38097.6640625
T1194605,78631.984375
T1209037,38312.5078125
T1202615,75657.296875
T1196921,48197.32421875
T1188759,66884.40625
T1209781,45650.21875
T1200073,62451.73828125
T1199632,62632.125
T1192670,43329.6484375
T1189336,26953.646484375
T1202372,51673.08203125
T1203370,55357.984375
T1209552,35593.4140625
T1200125,46377.8203125
T1209996,51801.3984375
T1209845,73280.3203125
T1201865,53037.98046875
T1192997,56042.0078125
T1201683,70722.90625
T1195180,44798.16015625
T1207690,42857.5078125
T1197697,45167.8203125
T1189141,37955.015625
T1205316,35807.7734375
T1198158,41149.69921875
T1189697,50779.16015625
T1206568,26420.18359375
T1201147,32368.12890625
T1196702,67148.375
T1189695,31431.5625
T1205201,64432.55859375
T1209732,20608.16796875
T1197786,49113.75
T1208087,48706.7734375
T1197570,53797.02734375
T1194275,29995.529296875
T1197406,28699.669921875
T1194357,34324.54296875
T1203486,41613.2109375
T1203970,103778.828125
T1190570,45262.58984375
T1191290,50338.5546875
T1189068,33442.61328125
T1199968,67476.25
T1191270,68510.53125
T1204568,31688.51953125
T1203814,78759.515625
T1199662,47771.84765625
T1191133,56689.10546875
T1197424,33160.42578125
T1196418,54396.73046875
T1201385,54034.09765625
T1197860,47593.359375
T1193505,38040.05078125
T1197366,44883.09765625
T1190878,47163.3125
T1195873,47946.8203125
T1203717,55968.8671875
T1194090,33193.75390625
T1189716,35022.73828125
T1201405,44179.67578125
T1188533,38303.0078125
T1202620,37796.8046875
T1189852,31618.103515625
T1189574,31649.001953125
T1196293,83796.046875
T1202321,68312.0703125
T1210567,35132.53515625
T1200179,30001.501953125
T1190770,54645.8828125
T1201541,79428.78125
T1197680,45834.4453125
T1197951,21389.75390625
T1208826,54176.0703125
T1191940,27576.625
T1191686,53213.18359375
T1196640,61676.91796875
T1207115,32315.951171875
T1190851,43008.0859375
T1207244,78154.4453125
T1193075,41373.0546875
T1195084,37491.8046875
T1192874,42831.94921875
T1190857,64043.25
T1199804,49362.8828125
T1208276,20952.990234375
T1204903,20813.0703125
T1202169,45192.89453125
T1205958,31621.21484375
T1190084,31811.642578125
T1208171,44395.8828125
T1189428,41422.4375
T1204752,30043.919921875
T1189007,37670.6484375
T1192035,70998.5390625
T1197907,43895.00390625
T1206087,43189.0
T1207255,28572.259765625
T1208828,45978.08984375
T1188415,38406.0234375
T1205919,42977.578125
T1201347,86401.0390625
T1200266,100399.3359375
T1202090,36274.9375
T1196810,22109.849609375
T1193960,32685.564453125
T1199175,46293.35546875
T1199722,84877.40625
T1202766,63110.35546875
T1188822,46574.26953125
T1205977,20753.521484375
T1202658,68692.8515625
T1192246,45691.76953125
T1193883,46382.390625
T1206883,22455.525390625
T1207318,69289.5
T1208441,46695.33984375
T1192312,51511.66796875
T1189521,45812.5
T1193937,46363.33984375
T1200314,67811.2734375
T1193700,52393.640625
T1190029,60652.45703125
T1208279,82746.734375
T1188871,46494.30078125
T1198607,46405.0390625
T1200800,38567.765625
T1209952,34567.359375
T1206534,77275.2890625
T1209788,25868.626953125
T1201384,42586.80078125
T1203527,62583.72265625
T1200414,53579.39453125
T1195695,63546.6875
T1204077,42258.5234375
T1197369,32408.669921875
T1202025,37569.19921875
T1206348,74628.265625
T1206060,70190.9765625
T1204129,36715.92578125
T1201851,37689.33984375
T1203447,62418.87890625
T1192482,27460.486328125
T1208446,54532.90234375
T1196677,64787.48828125
T1198292,36568.74609375
T1209295,81113.5234375
T1197254,44705.57421875
T1191208,66467.75
