ID,Sales
T1188624,23934.37890625
T1191877,26876.57421875
T1190907,86788.7109375
T1201887,19748.896484375
T1201833,77921.609375
T1201455,45087.05078125
T1199499,50119.91796875
T1191419,63304.64453125
T1201451,47662.72265625
T1189066,38980.91015625
T1197842,70188.921875
T1197840,41066.7890625
T1199081,35339.99609375
T1190475,91381.296875
T1190307,58268.6875
T1188375,94113.0390625
T1189657,30022.111328125
T1203913,51982.08203125
T1193614,66123.9453125
T1209088,53102.41796875
T1190783,49416.4140625
T1193483,36966.75
T1202915,42287.59375
T1208190,60222.41796875
T1206284,53730.83984375
T1188505,30549.228515625
T1195589,69585.8671875
T1207563,36851.0
T1200425,36293.80859375
T1207818,40200.08984375
T1202005,39215.62109375
T1202240,39150.8125
T1190734,58898.8203125
T1192016,45764.3671875
T1204965,35575.9453125
T1209043,95654.828125
T1190788,44821.93359375
T1207336,39226.7734375
T1195410,82320.0703125
T1204746,41840.953125
T1203336,30267.603515625
T1204049,36398.16796875
T1208252,65296.0703125
T1201520,63082.34375
T1195480,56394.4296875
T1196913,47679.15234375
T1198148,32679.583984375
T1205149,24352.490234375
T1191718,42984.12890625
T1209292,91488.5
T1199049,28934.291015625
T1201180,109537.9609375
T1196625,37006.30859375
T1194256,38981.20703125
T1195110,32455.705078125
T1201014,116941.296875
T1190509,45484.9296875
T1206315,60630.36328125
T1205176,32693.875
T1197023,77841.609375
T1203338,42038.21875
T1201315,32932.47265625
T1189192,53548.3203125
T1188442,53315.5390625
T1201227,31313.044921875
T1207221,40298.48828125
T1194946,42302.078125
T1208560,29737.19921875
T1200549,27216.833984375
T1208233,18300.6015625
T1207630,56487.9921875
T1207131,30281.37890625
T1204124,29233.244140625
T1195532,56675.296875
T1195997,51975.83984375
T1206587,31609.96484375
T1209803,32800.8203125
T1202255,64940.91796875
T1192117,28621.109375
T1202555,11980.8447265625
T1193231,43581.79296875
T1190709,54732.85546875
T1198415,19201.267578125
T1199993,41804.9140625
T1192142,45205.984375
T1205473,28708.51953125
T1190814,51457.4140625
T1203337,48512.44921875
T1206580,43708.8671875
T1208323,25998.33203125
T1191743,29262.119140625
T1188629,36987.47265625
T1198461,37252.02734375
T1208255,60334.328125
T1193454,46451.58203125
T1206704,38284.43359375
T1206107,40022.75
T1188662,60464.19921875
T1203966,54575.7578125
T1195453,50162.50390625
T1208357,41428.82421875
T1199525,96966.1484375
T1200439,24636.197265625
T1208851,25865.072265625
T1188984,38016.8203125
T1192566,69688.765625
T1207310,41728.44921875
T1198532,68275.90625
T1192700,26089.423828125
T1193517,31985.380859375
T1201270,81122.7890625
T1205094,26530.556640625
T1200259,70859.4296875
T1196217,55019.734375
T1203286,49535.39453125
T1198729,42828.640625
T1208552,28585.4921875
T1200637,75453.796875
T1189761,28515.927734375
T1188965,95392.296875
T1190650,59986.40234375
T1209862,20238.4921875
T1192480,26673.673828125
T1190162,28773.744140625
T1201090,54218.01953125
T1194783,45927.82421875
T1209465,36563.0
T1194701,33788.78125
T1209702,49802.0390625
T1191896,32168.20703125
T1210348,43465.140625
T1204349,53979.0546875
T1209729,32945.86328125
T1201997,25359.525390625
T1192619,34408.1953125
T1193878,37204.984375
T1205970,42877.7109375
T1199332,74596.9296875
T1200147,73370.40625
T1198965,35425.359375
T1194995,31422.634765625
T1193875,25935.16015625
T1191384,61728.5390625
T1189054,67494.1171875
T1195908,37842.80859375
T1203228,42565.3125
T1195595,63053.52734375
T1204094,68470.5859375
T1210139,31243.244140625
T1203758,34506.97265625
T1202759,21060.4140625
T1195625,39858.25
T1202658,69929.125
T1195983,33751.41796875
T1191320,53933.078125
T1201122,56248.34765625
T1199018,114266.4609375
T1195843,89385.5078125
T1188429,62856.90234375
T1203928,67476.4296875
T1202552,52478.7734375
T1199560,24354.064453125
T1197088,38431.07421875
T1190964,31903.607421875
T1192934,25010.306640625
T1198688,85032.515625
T1209390,31937.1640625
T1204238,62359.6796875
T1194127,24983.564453125
T1202756,35626.54296875
T1189073,42682.72265625
T1197646,41839.75390625
T1194055,39187.6484375
T1204385,30006.099609375
T1203623,36814.48046875
T1198297,42188.23046875
T1201187,30329.20703125
T1191995,28875.0390625
T1195260,24543.84375
T1189084,36664.5625
T1196193,44901.3046875
T1197645,51066.08984375
T1193439,58859.234375
T1196806,56769.4921875
T1188847,47208.83203125
T1191315,71912.671875
T1199462,39283.67578125
T1198574,30832.45703125
T1195854,44834.6171875
T1201354,62986.12890625
T1203894,49573.03515625
T1194094,56719.59765625
T1199676,36534.1484375
T1199772,54484.94921875
T1199478,72579.7265625
T1202543,39129.65234375
T1203402,45676.64453125
T1196800,51583.43359375
T1204170,37350.8359375
T1209379,41047.18359375
T1199089,55377.5078125
T1203889,46527.94921875
T1197389,33868.92578125
T1190758,24180.28125
T1201475,56354.83984375
T1190209,42890.46875
T1192671,35447.8046875
T1195102,58548.86328125
T1188440,37066.29296875
T1198866,35595.03515625
T1200394,32290.806640625
T1206955,44194.5078125
T1190499,60954.5078125
T1195131,32267.689453125
T1202122,40115.3203125
T1198621,63311.33984375
T1208568,18519.33203125
